respondent_id,age_group,occupation,region_type,education,income_band,formal_menstrual_education,awareness_cup_infection,awareness_pad_health_risk,awareness_reusable_underwear_risk,awareness_pantiliner_risk,self_reported_information_sufficiency,comfort_importance,cost_importance,availability_importance,health_risk_importance,leakage_protection_importance,durability_importance,reusability_importance,variants_importance,brand_importance,quality_importance,sustainability_importance,affordability_importance,primary_product,satisfaction,usage_duration,uses_alternatives,changed_product_5y,future_switch_intention,discussion_comfort,cultural_influence,cultural_taboos,social_stigma,awareness_score,awareness_category
R001,18-25,Student,Urban,Post Graduate,200000 - 400000,Somewhat,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5,5,5,3,5,4,4,Sanitary pad,2,More than 5 years,No,No,Maybe,Sometimes,4,No,Maybe,1.0,High
R002,18-25,Employed,Urban,Post Graduate,<= 200000,No,Yes,Yes,Yes,Yes,Not sure,5,3,2,5,1,5,1,4,5,5,5,5,Sanitary pad,3,More than 5 years,No,No,Maybe,Yes,1,No,No,0.9,High
R003,46 and above,Employed,Urban,Post Graduate,600000 -1000000,Yes,Yes,Yes,No,Yes,Yes,5,3,5,5,5,5,5,5,5,5,5,4,Do not need after menopause,4,More than 5 years,No,No,No,No,4,No,No,0.8,High
R004,18-25,Employed,Urban,Graduate,400000 - 600000,Somewhat,Yes,Yes,No,No,Yes,4,3,4,1,4,4,1,4,3,4,4,5,Sanitary pad,4,More than 5 years,Sometimes,No,No,Sometimes,4,No,No,0.6,Moderate
R005,18-25,Employed,Urban,12th std,>= 1000000,Somewhat,No,No,No,Yes,No,3,4,3,4,4,4,4,4,4,4,4,5,Sanitary pad,2,More than 5 years,No,No,Maybe,Yes,4,Maybe,Yes,0.2,Low
R006,18-25,Student,Suburban,Graduate,<= 200000,Somewhat,No,No,No,No,No,5,5,5,5,5,5,1,1,1,4,4,5,Period panties,3,More than 5 years,No,No,Maybe,Sometimes,5,No,No,0.0,Low
R007,18-25,Employed,Suburban,Post Graduate,600000 -1000000,Yes,Yes,Yes,Yes,Yes,Yes,5,4,4,4,5,5,5,5,4,5,4,5,Sanitary pad,3,More than 5 years,Yes,Yes,Maybe,Yes,3,Yes,No,1.0,High
R008,18-25,Employed,Suburban,Post Graduate,200000 - 400000,Yes,Yes,No,No,No,No,3,4,4,3,5,5,3,4,4,5,4,5,Sanitary pad,3,Less than 1 year,No,Yes,Yes,Yes,5,No,No,0.2,Low
R009,18-25,Student,Urban,Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Not sure,5,5,5,5,5,5,1,5,1,5,4,5,Sanitary pad,5,More than 5 years,No,No,No,Yes,5,No,No,0.9,High
R010,18-25,Unemployed,Urban,Post Graduate,>= 1000000,No,Yes,Yes,No,No,Not sure,5,2,5,5,5,5,2,4,4,5,3,5,Sanitary pad,2,3-5 years,Sometimes,No,No,Sometimes,4,No,No,0.5,Moderate
R011,26-35,Employed,Urban,Post Graduate,200000 - 400000,No,No,Yes,Yes,Yes,No,3,3,5,3,3,4,3,5,5,5,5,5,Sanitary pad,2,More than 5 years,No,Yes,Maybe,Yes,3,No,No,0.6,Moderate
R012,18-25,Unemployed,Urban,Post Graduate,600000 -1000000,Yes,Yes,Yes,Yes,Yes,Not sure,4,4,5,5,4,5,5,5,5,5,5,5,Sanitary pad,5,More than 5 years,No,No,Maybe,Yes,1,Maybe,No,0.9,High
R013,18-25,Employed,Suburban,Graduate,200000 - 400000,Yes,Yes,Yes,Yes,No,Not sure,5,5,5,5,5,5,5,5,5,5,5,5,Sanitary pad,1,More than 5 years,Sometimes,Yes,No,Yes,3,Yes,No,0.7,Moderate
R014,18-25,Student,Suburban,Under Graduate,600000 -1000000,Somewhat,Yes,Yes,No,Yes,Not sure,5,4,5,5,5,5,4,4,4,4,5,5,Sanitary pad,3,More than 5 years,No,No,Maybe,Yes,3,Maybe,No,0.7,Moderate
R015,18-25,Employed,Urban,Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Yes,5,4,5,5,5,5,5,5,4,5,5,5,Sanitary pad,2,1-3 years,No,No,Maybe,Yes,5,Maybe,No,1.0,High
R016,18-25,Student,Suburban,Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Not sure,5,2,5,5,4,4,5,5,3,5,4,5,Sanitary pad,1,1-3 years,No,Yes,Maybe,Yes,3,No,No,0.9,High
R017,18-25,Student,Suburban,Post Graduate,400000 - 600000,Yes,Yes,Yes,No,No,Not sure,5,4,4,5,5,4,4,3,2,4,3,4,Sanitary pad,3,More than 5 years,No,No,Yes,Yes,2,No,No,0.5,Moderate
R018,18-25,Student,Urban,Post Graduate,<= 200000,Somewhat,Yes,Yes,No,Yes,Not sure,5,5,5,5,5,5,5,3,5,5,5,5,Menstrual cup,1,3-5 years,Sometimes,Yes,No,Sometimes,3,No,No,0.7,Moderate
R019,18-25,Employed,Urban,Graduate,400000 - 600000,Yes,Yes,Yes,No,No,No,5,4,5,5,5,4,1,2,4,5,4,5,Sanitary pad,2,1-3 years,No,Yes,Maybe,Sometimes,5,No,No,0.4,Low
R020,18-25,Employed,Suburban,Post Graduate,<= 200000,No,Yes,Yes,Yes,No,Not sure,5,4,5,5,5,5,3,5,4,5,5,5,Sanitary pad,5,More than 5 years,Sometimes,No,Maybe,Yes,3,Yes,Yes,0.7,Moderate
R021,18-25,Student,Urban,Graduate,600000 -1000000,No,Yes,No,Yes,No,No,5,5,5,5,5,5,3,5,5,5,5,5,Sanitary pad,1,More than 5 years,Yes,No,Maybe,Yes,1,Yes,Yes,0.4,Low
R022,36-45,Employed,Urban,Post Graduate,>= 1000000,Yes,No,Yes,No,No,Yes,4,4,4,4,4,4,4,4,4,5,5,5,Menstrual cup,4,1-3 years,No,Yes,Yes,Yes,3,No,No,0.4,Low
R023,18-25,Student,Urban,Graduate,<= 200000,Yes,Yes,Yes,Yes,Yes,No,5,5,5,5,5,5,5,5,5,5,5,5,Sanitary pad,4,More than 5 years,No,Yes,Maybe,Yes,1,Yes,No,0.8,High
