variable,missing_n,missing_percent
primary_product,1,0.00684931506849315
respondent_id,0,0
age_group,0,0
occupation,0,0
region_type,0,0
education,0,0
income_band,0,0
formal_menstrual_education,0,0
awareness_cup_infection,0,0
awareness_pad_health_risk,0,0
awareness_reusable_underwear_risk,0,0
awareness_pantiliner_risk,0,0
self_reported_information_sufficiency,0,0
comfort_importance,0,0
cost_importance,0,0
availability_importance,0,0
health_risk_importance,0,0
leakage_protection_importance,0,0
durability_importance,0,0
reusability_importance,0,0
variants_importance,0,0
brand_importance,0,0
quality_importance,0,0
sustainability_importance,0,0
affordability_importance,0,0
satisfaction,0,0
usage_duration,0,0
uses_alternatives,0,0
changed_product_5y,0,0
future_switch_intention,0,0
discussion_comfort,0,0
cultural_influence,0,0
cultural_taboos,0,0
social_stigma,0,0
awareness_score,0,0
awareness_category,0,0
