attribute,mean_rating,attribute_label
quality_importance,4.6438356164383565,Quality
affordability_importance,4.616438356164384,Affordability
comfort_importance,4.52054794520548,Comfort
leakage_protection_importance,4.47945205479452,Leakage Protection
health_risk_importance,4.376712328767123,Health Risk
durability_importance,4.3561643835616435,Durability
availability_importance,4.273972602739726,Availability
variants_importance,4.191780821917808,Variants
sustainability_importance,4.13013698630137,Sustainability
brand_importance,4.02054794520548,Brand
cost_importance,3.7054794520547945,Cost
reusability_importance,3.095890410958904,Reusability
